id,title,tags
1043197,Dust Bunny,"Ten-year-old Aurora asks her hitman neighbor to kill the monster under her bed that she claims ate her family. To protect her, he must battle an onslaught of assassins while accepting that some monsters are real. Action Fantasy Thriller UnitedStatesofAmerica Canada Hungary MadsMikkelsen SophieSloan SigourneyWeaver DavidDastmalchian murdermystery monsterunderthebed"
1454741,The Confession,"A woman finds her late father’s tape confessing to murder tied to an evil force—now her son shows the same darkness, and she must fight to stop it. Horror UnitedStatesofAmerica ItaliaRicci ScottMechlowicz ZacharyGolinger TerenceRosemore grave hauntedhouse possession tragic possessedchild"
1116201,Iron Lung,"The stars are gone. The planets have disappeared. Only individuals aboard space stations or starships were left to give the end a name -- The Quiet Rapture. After decades of decay and crumbling infrastructure, the Consolidation of Iron has made a discovery on a barren moon designated AT-5. An ocean of blood. Hoping to discover desperately needed resources they immediately launch an expedition. A submarine is crafted and a convict is welded inside. Due to the pressure and depth of the ocean the forward viewport has been encased in metal. If successful, they will earn their freedom. If not, another will follow. This will be the 13th expedition. Horror Science Fiction UnitedStatesofAmerica MarkFischbach CarolineKaplan TroyBaker ElsieLovelock future moon submarine expedition post-apocalypticfuture hallucination gore space underwater convict basedonvideogame trenches cosmichorror seacreature claustrophobic indiehorror slowburn independentfilm mysteriousdisappearance bodyhorror blood desolateplanet hallucinations eldritch planets awestruck mysteriouscaves post-apocalyptic"
991494,The SpongeBob Movie: Search for SquarePants,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before. Animation Family Comedy Adventure Fantasy UnitedStatesofAmerica TomKenny ClancyBrown RodgerBumpass BillFagerbakke basedoncartoon pirate basedontvseries casual underworld adoring amused cheerful familiar"
1326878,Strangers,"Seeking revenge on her abusive husband, a woman's life takes a dark turn when she meets a mysterious hitman. Drawn into a whirlwind romance, she spirals into a dangerous vigilante spree. As the body count rises, she begins to unravel the true nature of her partner and the secrets they both conceal. Action Thriller Crime UnitedStatesofAmerica SiennaGuillory JonVoight JamieBamber EmmettScanlan"
1242501,Icefall,"A young Indigenous game warden arrests an infamous poacher only to discover that the poacher knows the location of a plane carrying millions of dollars that has crashed in a frozen lake. When a group of criminals and dirty cops are alerted to the poacher’s whereabouts, the warden and the poacher team up to fight back and escape across the treacherous lake before the ice melts. Action Crime Thriller UnitedStatesofAmerica JoelKinnaman CaraJadeMyers DannyHuston GrahamGreene dreary demeaning"
801937,"Silent Night, Deadly Night","After witnessing his parents' brutal murder on Christmas Eve, Billy transforms into a Killer Santa, delivering a yearly spree of calculated, chilling violence. This year, his blood-soaked mission collides with love, as a young woman challenges him to confront his darkness. Horror Thriller UnitedStatesofAmerica Canada France RohanCampbell RubyModine MarkAcheson DavidLawrenceBrown holiday trauma romance remake slasher axemurder deathofparent deadparents detached christmas festive lovestory innervoice vindictive horror holidayhorror santa chainsawkill shotgunmurder"
1291608,Dhurandhar,"In the early 2000s, an Indian undercover operative infiltrates Karachi’s underworld, breaking into its inner circle to dismantle a violent nexus from within. Action Thriller India RanveerSingh AkshayeKhanna R.Madhavan ArjunRampal asia patriotism nationalism controversy gore pakistan torture terrorism india terroristattack gunviolence bloodshed politicalcorruption 1990s spythriller indian racialdiscrimination 2000s serious thriller intense action chasescene cruel excited"
1475490,The Calling Witch,A brother and sister are terrorized by what seems to be their late-author mother's most sinister literary creation - The Calling Witch. Thriller Horror Drama DanikaGolombek GraysonEddey NathalieSöderqvist MarcusDeAnda cabininthewoods supernaturalbeing cursedwitch
858024,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet. Drama Romance History UnitedKingdom UnitedStatesofAmerica JessieBuckley PaulMescal EmilyWatson JoeAlwyn basedonnovelorbook grief historicalfiction deathinfamily deathofson womandirector 16thcentury tense"
