id,title,tags
1326878,Strangers,seeking revenge abusive husband womans life takes dark turn meets mysterious hitman drawn whirlwind romance spirals dangerous vigilante spree body count rises begins unravel true nature partner secrets conceal action thriller crime unitedstatesofamerica siennaguillory jonvoight jamiebamber emmettscanlan
1242501,Icefall,young indigenous game warden arrests infamous poacher discover poacher knows location plane carrying millions dollars crashed frozen lake group criminals dirty cops alerted poacher’s whereabouts warden poacher team fight back escape across treacherous lake ice melts action crime thriller unitedstatesofamerica joelkinnaman carajademyers dannyhuston grahamgreene dreary demeaning
801937,"Silent Night, Deadly Night",witnessing parents brutal murder christmas eve billy transforms killer santa delivering yearly spree calculated chilling violence year bloodsoaked mission collides love young woman challenges confront darkness horror thriller unitedstatesofamerica canada france rohancampbell rubymodine markacheson davidlawrencebrown holiday trauma romance remake slasher axemurder deathofparent deadparents detached christmas festive lovestory innervoice vindictive horror holidayhorror santa chainsawkill shotgunmurder
1291608,Dhurandhar,early 2000s indian undercover operative infiltrates karachi’s underworld breaking inner circle dismantle violent nexus within action thriller india ranveersingh akshayekhanna rmadhavan arjunrampal asia patriotism nationalism controversy gore pakistan torture terrorism india terroristattack gunviolence bloodshed politicalcorruption 1990s spythriller indian racialdiscrimination 2000s serious thriller intense action chasescene cruel excited
1475490,The Calling Witch,brother sister terrorized seems lateauthor mothers sinister literary creation calling witch thriller horror drama danikagolombek graysoneddey nathaliesöderqvist marcusdeanda cabininthewoods supernaturalbeing cursedwitch
858024,Hamnet,powerful story love loss inspired creation shakespeares timeless masterpiece hamlet drama romance history unitedkingdom unitedstatesofamerica jessiebuckley paulmescal emilywatson joealwyn basedonnovelorbook grief historicalfiction deathinfamily deathofson womandirector 16thcentury tense
7451,xXx,xander cage standard adrenaline junkie fear lousy attitude us government recruits go mission hes exactly thrilled mission gather information organization may planning destruction world led nihilistic yorgi action adventure thriller crime drama unitedstatesofamerica vindiesel asiaargento martoncsokas samuelljackson mission biologicalweapon sportscar coldwar pragueczechrepublic nsaagent adrenalinejunkie thrillseeker
1412598,Killer Whale,follows best friends maddie trish find trapped remote lagoon dangerous killer whale named ceto thriller horror action mystery science fiction australia unitedstatesofamerica unitedkingdom virginiagardner meljarnson mitchellhope isaaccrawley biting survivalhorror killerwhale orca aquatichorror absurd strandedatsea
1252037,The Tank,german tiger tank crew sent dangerous mission rescue missing officer paul von hardenburg topsecret bunker behind enemy lines make way lethal nomans land must confront enemy also fears inner demons fueled wehrmachts methamphetamine mission increasingly becomes journey heart darkness war action drama germany laurencerupp davidschütter sebastianurzendowsky leonardkunz worldwarii tank antiwar 1940s gloomy easternfront meth
425274,Now You See Me: Now You Don't,original four horsemen reunite new generation illusionists take powerful diamond heiress veronika vanderberg leads criminal empire built money laundering trafficking new old magicians must overcome differences work together ambitious heist yet thriller crime mystery unitedstatesofamerica jesseeisenberg dominicsessa arianagreenblatt justicesmith diamond antwerp sequel heist diamondheist illusionist teamup
1054867,One Battle After Another,washedup revolutionary bob exists state stoned paranoia surviving offgrid spirited selfreliant daughter willa evil nemesis resurfaces 16 years goes missing former radical scrambles find father daughter battling consequences past thriller crime action unitedstatesofamerica leonardodicaprio seanpenn chaseinfiniti beniciodeltoro rebellion basedonnovelorbook resistance usa–mexicoborder riot interracialrelationship ontherun xenophobia aftercreditsstinger missingdaughter whitesupremacy antifascism fatherdaughterrelationship revolutionaries africanamerican antiracism immigrationdetentioncenter
628847,Trap House,undercover dea agent partner embark game cat mouse audacious surprising group thieves rebellious teenagers begun robbing dangerous cartel using parents tactics topsecret intel action crime thriller unitedkingdom unitedstatesofamerica davebautista jackchampion sophialillis whitneypeak
24428,The Avengers,unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known shield finds need team pull world back brink disaster spanning globe daring recruitment effort begins science fiction action adventure unitedstatesofamerica robertdowneyjr chrisevans markruffalo chrishemsworth newyorkcity superhero shield basedoncomic alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniversemcu
1317288,Marty Supreme,marty mauser young man dream one respects goes hell back pursuit greatness drama unitedstatesofamerica timothéechalamet gwynethpaltrow odessaazion kevinoleary newyorkcity sports capitalism pregnancy hustler pingpong tokyojapan pregnantwoman characterstudy scheming 1950s dedication americanbusinessman jewish tabletennis
1233413,Sinners,trying leave troubled lives behind twin brothers return hometown start discover even greater evil waiting welcome back horror action thriller unitedstatesofamerica michaelbjordan haileesteinfeld milescaton jackoconnell chicagoillinois capitalism kukluxklan musician immortality vampire surrealism sin alcoholism vampirehunterslayer church twins blunt estrangedwife dualrole cousinrelationship deathofdaughter bluesmusic aftercreditsstinger klansmen 1990s 1930s salvation assimilation chineseimmigrant brotherbrotherrelationship southerngothic afrodescendants cousins supernaturalhorror playful trainstation mississippi frightened
803796,KPop Demon Hunters,kpop superstars rumi mira zoey arent selling stadiums theyre using secret powers protect fans supernatural threats fantasy music comedy animation unitedstatesofamerica ardencho mayhong jiyoungyoo ahnhyoseop doublelife loyalty supernatural musical femalefriendship femaleprotagonist demon selfdoubt singalong girlpower duringcreditsstinger demonhunter girlgroup boyband fandom kpop actioncomedy foundfamily southkorea 3danimation halfdemon savetheworld selfredemption kpopgroup trio
1228246,Five Nights at Freddy's 2,one year since supernatural nightmare freddy fazbears pizza stories transpired twisted campy local legend inspiring towns first ever fazfest truth kept abby sneaks reconnect freddy bonnie chica foxy setting motion terrifying series events reveal dark secrets real origin freddys unleash decadeshidden horror horror thriller unitedstatesofamerica joshhutcherson piperrubio elizabethlail matthewlillard killerrobot pizzeria sequel serialkiller securityguard basedonvideogame themepark deadchildren aftercreditsstinger duringcreditsstinger hauntedattractions nightguard animatronic possesseddoll supernaturalhorror ghostchild slasherhorror androidhorror
1199869,Eye for an Eye,anna grieving sudden death parents relocates new york small florida town live grandmother never met isolated vulnerable need friends finds brief solace company two local teens becomes complicit unforgivable act violence finds ensnared mr sandman – twisted soul tormented child haunts bullies’ dreams feasting eyeballs finally wake anna must right wrong becoming victim gruesome curse horror unitedstatesofamerica unitedkingdom whitneypeak goldarosheuvel finnbennett lakengiles basedongraphicnovel entity supernaturalcreature dreamlogic supernaturalinvestigation fightingsupernatural supernaturalbeing supernaturalhorror horror
1206008,Ella McCay,idealistic young politician juggles familial issues challenging work life preparing take job mentor state’s longtime incumbent governor comedy drama unitedstatesofamerica emmamackey jamieleecurtis spikefearn albertbrooks politics aunt dysfunctionalfamily politicalscandal governer ambiguous baffled woman
1511417,Bāhubali: The Epic,mysterious child found tribal couple near roaring waterfall raise grows sivudu drawn world beyond cliffs discovers ancient kingdom mahishmati ruled cruel tyrant haunted rebellion bound past begins quest love soon unravels legacy betrayal sacrifice forgotten prince action drama india prabhas ranadaggubati anushkashetty ramyakrishnan affectation flashback revenge alternatehistory historicalfiction fratricide ancientindia regicide multigenerational absurd hindushiva multipletimelines remastered epicfilm directorscut
524047,Greenland,john garrity estranged wife young son embark perilous journey find sanctuary planetkilling comet hurtles toward earth amid terrifying accounts cities getting levelled garritys experience best worst humanity countdown global apocalypse approaches zero incredible trek culminates desperate lastminute flight possible safe action adventure thriller science fiction unitedkingdom unitedstatesofamerica gerardbutler morenabaccarin daviddenman hopedavis husbandwiferelationship panic kidnapping looting naturaldisaster stateofemergency comet endoftheworld meteorite disaster apocalypse destructionofplanet diabetic armybase emergency greenland atlantageorgia amused
1234821,Jurassic World Rebirth,five years events jurassic world dominion covert operations expert zora bennett contracted lead skilled team topsecret mission secure genetic material worlds three massive dinosaurs zoras operation intersects civilian family whose boating expedition capsized find stranded island come facetoface sinister shocking discovery thats hidden world decades science fiction adventure action unitedstatesofamerica scarlettjohansson mahershalaali jonathanbailey rupertfriend island secretmission tyrannosaurusrex spinosaurus sequel stranded dinosaur family geneticexperiment mosasaurus
982843,The Great Flood,raging flood traps researcher young son call crucial mission puts escape — future humanity — line science fiction adventure drama southkorea kimdami parkhaesoo kwoneunseong jeonhyejin climatechange naturaldisaster globalwarming transhumanism flood meditative vexed thoughtful philosophical reflective complex loving introspective wistful provocative dramatic admiring adoring compassionate defiant dignified empathetic hopeful powerful sincere sympathetic urgent
1236153,Mercy,near future detective stands trial accused murdering wife ninety minutes prove innocence advanced ai judge championed determines fate science fiction action thriller unitedstatesofamerica chrispratt rebeccaferguson kalireis kylierogers raceagainsttime artificialintelligenceai bomb kidnapping losangelescalifornia falseaccusations innocentsuspect fatherdaughterrelationship criminaljusticesystem evidenceroom nearfuture screenlife suspenseful intense crime apathetic deadmanswitch
1539104,JUJUTSU KAISEN: Execution,veil abruptly descends busy shibuya area amid bustling halloween crowds trapping countless civilians inside satoru gojo strongest jujutsu sorcerer steps chaos lying wait curse users spirits scheming seal away yuji itadori accompanied classmates toptier jujutsu sorcerers enters fray unprecedented clash curses — shibuya incident aftermath ten colonies across japan transformed dens curses plan orchestrated noritoshi kamo deadly culling game starts special grade sorcerer yuta okkotsu assigned carry yujis execution perceived crimes compilation movie shibuya incident including first two episodes culling games arc animation action japan junyaenoki megumiogata kojiyusa daisukenamikawa compilation basedonmanga editedfromtvseries shounen anime distressing
1466115,Even If This Love Disappears Tonight,high school girl wakes day memory yesterday agrees date shy classmate love grow every new beginning romance drama southkorea chooyoungwoo shinsia choyujung jinhoeun amnesia basedonnovelorbook remake tearjerker highschoolromance slowburn purelove emotionalgrowth emotional melancholic youthmelodrama fearofgoodbye warmtragedy bittersweetending tearsguaranteed
1131759,Omniscient Reader: The Prophecy,kim dokja ordinary man 20s reader obscure web novel titled three ways survive apocalypse read last chapter novel suddenly becomes reality omnipotent hero yu junghyeok appears kim person knows survive world kim companions strive save world writing new ending action adventure fantasy southkorea ahnhyoseop leeminho chaesoobin shinseungho basedonnovelorbook survival apocalypse superpower basedonwebnovel action blockbuster postapocalyptic
1491902,Bang,follows ruthless hitman narrowly escaping fatal attempt life betrays gang effort find forgiveness ends becoming target action thriller thailand jackkesy peterweller tristinmays kanekosugi hitman
1196067,Worldbreaker,five years ago tear fabric reality brought creatures world alternate dimension bent destruction father hides daughter island keep safe prepares survival battles come world break place safe science fiction action horror unitedkingdom unitedstatesofamerica millajovovich lukeevans billieboullet meadowwilliams monster climatechange globalwarming
1272837,28 Years Later: The Bone Temple,dr kelson finds shocking new relationship consequences could change world know spikes encounter jimmy crystal becomes nightmare cant escape horror thriller science fiction unitedkingdom unitedstatesofamerica ralphfiennes jackoconnell alfiewilliams erinkellyman england postapocalypticfuture satanism satanist sequel satan survival zombie death crucifix survivalhorror sataniccult zombieapocalypse northumberland
1413097,Melania,offering unprecedented access 20 days leading 2025 presidential inauguration — eyes first ladyelect — step inside melania trumps world orchestrates inauguration plans navigates complexities white house transition reenters public life family exclusive footage capturing critical meetings private conversations neverbeforeseen environments mrs trump returns one worlds powerful roles documentary unitedstatesofamerica melaniatrump donaldtrump barrontrump hervépierre immigrant washingtondcusa presidentialelection politics firstlady fashion inauguration controversial
1062722,Frankenstein,dr victor frankenstein brilliant egotistical scientist brings creature life monstrous experiment ultimately leads undoing creator tragic creation drama fantasy horror unitedstatesofamerica canada oscarisaac jacobelordi christophwaltz miagoth monster basedonnovelorbook supernatural surgeon madscientist reanimation fathersonrelationship mothersonrelationship frankenstein
157336,Interstellar,adventures group explorers make use newly discovered wormhole surpass limitations human space travel conquer vast distances involved interstellar voyage adventure drama science fiction unitedkingdom unitedstatesofamerica matthewmcconaughey annehathaway michaelcaine jessicachastain rescue future spacecraft raceagainsttime artificialintelligenceai nasa timewarp dystopia expedition spacetravel wormhole famine hibernation blackhole quantummechanics familyrelationships space robot astronaut scientist singlefather farmer spacestation spaceadventure timeparadox timemanipulation cryonics fatherdaughterrelationship 2060s cornfield
575265,Mission: Impossible - The Final Reckoning,ethan hunt team continue search terrifying ai known entity — infiltrated intelligence networks globe — worlds governments mysterious ghost hunts past trail joined new allies armed means shut entity good hunt race time prevent world know changing forever action thriller adventure unitedstatesofamerica tomcruise hayleyatwell vingrhames simonpegg mask artificialintelligenceai diving submarine espionage spy nuclearmissile fakeidentity secretagent stunt sequel secretgovernmentorganization infiltration terroristplot fictionalgovernmentagency misinformation governmentagency basedontvseries absurd arrogant disapproving disgusted frustrated pretentious ridiculous barco navio submarino inteligênciaartificial
1147411,"Miraculous World: Tokyo, Stellar Force",kagami drags marinette tokyo help stellars defeat new supervillain marinette soon realizes friend another untold reason trip japan adventure animation action tv movie comedy france anouckhautbois clarasoares clairebaradat grégorylaisné magic superhero mecha tokyojapan kaiju kids
1198984,We Bury the Dead,catastrophic military disaster dead dont rise—they hunt military insists harmless slowmoving offering hope grieving families ava enters quarantine zone searching missing husband uncovers horrifying truth undead growing violent relentless dangerous every passing hour horror thriller australia unitedstatesofamerica daisyridley brentonthwaites markcolessmith mattwhelan australia undead zombie missingperson military tasmania aggressive somber apocalyptic quarantinezone
19995,Avatar,22nd century paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting alien civilization action adventure fantasy science fiction unitedstatesofamerica unitedkingdom samworthington zoesaldaña sigourneyweaver stephenlang paraplegic attachmenttonature cultureclash indigenous spacetravel spacecolony tribe alienplanet distantfuture marine battle loveaffair scientist nature nativepeoples powerrelations tribalcustoms tribalpeople tribalchief cryonics spiritualcommunity 22ndcentury savetheplanet racialdiscrimination soldiers awestruck bold exhilarated
533533,TRON: Ares,highly sophisticated program called ares sent digital world real world dangerous mission marking humankinds first encounter ai beings science fiction adventure action unitedstatesofamerica jaredleto gretalee evanpeters gilliananderson artificialintelligenceai computerprogram simulation computersimulation sequel businessrivalry realworld absurd digitalworld
1561955,Stephen,psychiatrist evaluating selfconfessed serial killer unravels twisted web trauma deceit psychological manipulation—only question killer truly guilty another victim larger darker game thriller india gomathishankar smruthivenkat michaelthangadurai vijayashree
1266990,Kulong,three friends retreat resort collaborate daring screenplay contest faced challenge writing passion despite dry spells journey soon blurs line imagination experience drama philippines jennrosa aicaveloso carizmanzano jdaguas lesbianrelationship lgbt lesbian girlslovegl lesbianromance sexy
911430,F1,racing legend sonny hayes coaxed retirement lead struggling formula 1 team—and mentor young hotshot driver—while chasing one chance glory action drama unitedstatesofamerica bradpitt damsonidris javierbardem kerrycondon sports comeback racing racecardriver sportcompetition beforecreditsstinger rookie formulaonef1 motorsport carracing
1439112,Muzzle: City of Wolves,lapd officer jake rosser endeavors lead peaceful life family retired k9 officer socks however tranquility dissolves chaos gang targets brutal attack alongside new k9 partner argos jake launches relentless pursuit justice determined protect loved ones action thriller mystery unitedstatesofamerica aaroneckhart tanyavangraan karlthaning nicolefortuin policedog lapd
1315303,Primate,lucy college student along friends spend vacation familys home hawaii includes pet chimpanzee ben however ben contracts rabies bitten rabid animal group must fight lives order avoid nowviolent chimp horror thriller unitedstatesofamerica johnnysequoyah jessicaalexander troykotsur victoriawyant hawaii pet animalattack gore survival monkey survivalhorror chimpanzee rabies primate aggressive mongoose animalhorror poolparty pool party teenhorror horror animal
1220564,The Secret Agent,brazil 1977 marcelo technology expert early 40s run hoping reunite son travels recife carnival soon realizes city safe expecting crime drama thriller brazil france germany netherlands argentina wagnermoura carlosfrancisco tâniamaria robériodiógenes police professor 1970s secretagent dictatorship ontherun recife brazilianpolitics brazil archives ditaduramilitarbrasileira
1223601,Sisu: Road to Revenge,returning house family brutally murdered war man refuses die dismantles loads truck determined rebuild somewhere safe honor commander killed family comes back hellbent finishing job relentless eyepopping crosscountry chase ensues action war finland unitedkingdom jormatommila stephenlang richardbrake tommikorpela sequel karelia wonder absurd amused distressing enraged venganza secuela
111646,Biyaheng Langit,biyaheng langit tells story bea young filipinoamerican joyce jimenez bea bored wants life raise five thousand dollars live independently united states relieve boredom bea follows grandmother nida blanca casino gamble night meets danny mark anthony fernandez runner collects money tables bosing bembol roco drama action romance philippines joycejimenez markanthonyfernandez
269149,Zootopia,determined prove officer judy hopps first bunny zootopias police force jumps chance crack first case even means partnering scamartist fox nick wilde solve mystery animation adventure family comedy unitedstatesofamerica ginnifergoodwin jasonbateman idriselba jennyslate sheep allegory lion hippopotamus cartoon villain bullying polarbear conartist anthropomorphism revenge conspiracy urban femaleprotagonist rookiecop missingperson fable racialprejudice injustice reconciliation femalevillain buddycop stereotype cartoonrabbit villainarrested discrimination cartoonbear cartoonanimal cartoonfox cartoonelephant admiring
1010581,My Fault,noah must leave city boyfriend friends move william leisters mansion flashy wealthy husband mother rafaela proud independent 17 year old noah resists living mansion surrounded luxury however meets nick new stepbrother clash strong personalities becomes evident beginning drama romance thriller spain nicolewallace gabrielguevara martahazas ivánsánchez firsttime forbiddenlove stepbrother femaleprotagonist underagesex stepsister disturbed basedonyoungadultnovel enemiestolovers passionandromance car disapproving disgusted stepsiblingromance
1433842,Relationship Goals,tv producer leah caldwell aims become first woman running new yorks top morning show ex competes role leah stays focused career chemistry ex challenges priorities romance comedy unitedstatesofamerica kellyrowland methodman robinthede anniegonzalez basedonnovelorbook romcom
639988,No Other Choice,laid humiliated ruthless job market veteran paper mill manager descends violence desperate bid reclaim dignity crime thriller comedy southkorea france leebyunghun sonyejin parkheesoon leesungmin basedonnovelorbook remake blunt unemployment paperindustry unemployed devotedfamilyman hilarious defiant horrified blackcomedy
1241742,EKS,three compelling stories one erotic experience yen durano plays three different women three titillating stories collaboration three directors roman perez jr sigrid polon omar deroca drama philippines yenreneedurano audreyavila albiecasiño itanmagnaye softcore lgbt erotic lesbian sexy
